Country,household price,business price,average price,Source (2022 data): ,
Latvia,0.313,0.335,0.324,,
Lebanon,0.001,0.001,0.001,,
Lesotho,0.092,0.019,0.0555,,
Libya,0.01,0.041,0.0255,,
Liechtenstein,0.287,0.188,0.2375,,
Lithuania,0.496,0.464,0.48,,
Luxembourg,0.237,0.14,0.1885,,
Macao,0.158,0.164,0.161,,
Madagascar,0.129,0.098,0.1135,,
Malawi,0.11,0.153,0.1315,,
Malaysia,0.048,0.096,0.072,,
Maldives,0.15,-,0.15,,
Mali,0.216,0.156,0.186,,
Malta,0.145,0.162,0.1535,,
Mauritius,0.131,0.117,0.124,,
Mexico,0.104,0.206,0.155,,
Moldova,0.149,0.13,0.1395,,
Morocco,0.115,0.105,0.11,,
Mozambique,0.127,0.08,0.1035,,
Namibia,0.108,-,0.108,,
Nepal,0.044,0.07,0.057,,
Netherlands,0.486,0.669,0.5775,,
New Zealand,0.191,-,0.191,,
Nicaragua,0.174,0.181,0.1775,,
Nigeria,0.049,0.078,0.0635,,
N. Macedonia,0.116,0.259,0.1875,,
Norway,0.13,0.205,0.1675,,
Oman,0.026,0.156,0.091,,
Pakistan,0.045,0.146,0.0955,,
Panama,0.18,0.19,0.185,,
Paraguay,0.055,0.046,0.0505,,
Peru,0.242,0.171,0.2065,,
Philippines,0.175,0.148,0.1615,,
Poland,0.19,0.407,0.2985,,
Portugal,0.291,0.205,0.248,,
Qatar,0.033,0.036,0.0345,,
Romania,0.174,0.218,0.196,,
Russia,0.06,0.087,0.0735,,
Rwanda,0.226,0.084,0.155,,
Saudi Arabia,0.048,0.069,0.0585,,
Senegal,0.17,-,0.17,,
Serbia,0.104,0.112,0.108,,
Sierra Leone,0.082,0.109,0.0955,,
Singapore,0.238,0.268,0.253,,
Slovakia,0.205,0.364,0.2845,,
Slovenia,0.291,0.183,0.237,,
S. Africa,0.149,0.071,0.11,,
S. Korea,0.101,0.099,0.1,,
Spain,0.367,0.237,0.302,,
Sri Lanka,0.05,0.106,0.078,,
Sudan,0.008,0.044,0.026,,
Suriname,0.016,-,0.016,,
Swaziland,0.097,0.062,0.0795,,
Sweden,0.352,-,0.352,,
Switzerland,0.232,0.177,0.2045,,
Syria,0.005,0.015,0.01,,
Taiwan,0.096,0.125,0.1105,,
Tanzania,0.097,0.099,0.098,,
Thailand,0.121,0.119,0.12,,
Togo,0.191,0.176,0.1835,,
Trinidad & Tobago,0.052,0.053,0.0525,,
Tunisia,0.068,0.109,0.0885,,
Turkey,0.073,0.216,0.1445,,
UAE,0.079,0.11,0.0945,,
Uganda,0.163,0.118,0.1405,,
Ukraine,0.039,0.087,0.063,,
UK,0.416,0.341,0.3785,,
USA,0.18,0.15,0.165,,
Uruguay,0.245,0.117,0.181,,
Uzbekistan,0.026,0.052,0.039,,
Venezuela,0.045,0.053,0.049,,
Vietnam,0.08,0.075,0.0775,,
Zambia,0.029,0.045,0.037,,
Zimbabwe,0.015,-,0.015,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,

